cv_rank_f1_weighted,cv_f1_weighted,is_overfit,train_f1_weighted,test_f1_weighted,mean_fit_time,mean_test_precision_weighted,param_lgr__C,param_lgr__class_weight,param_lgr__max_iter,param_lgr__penalty,param_lgr__solver,param_lgr__tol,param_scaler__with_centering,param_selector__threshold,param_transformer__cat__combiner__rare_to_value,param_transformer__num__poly__degree,param_transformer__ohe__drop,rank_test_precision_weighted,holdout_rank_f1_weighted
28,0.9301584826768922,Yes,0.9354182389063308,0.934471039499735,1.083059597015381,0.9307898359706186,50.15234902283976,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,5.265761277157425e-05,True,8.047444117870624e-06,0.0035,1,if_binary,32,27
5,0.9334257726546158,Yes,0.9396060775032252,0.9339910423513839,17.511109161376954,0.9342640603260991,84.78107036312339,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,3.6287002255540664e-05,False,5.849477703167279e-05,0.0025,2,if_binary,5,28
7,0.9332869459974189,Yes,0.9398027620867614,0.9339910423513839,13.100341749191283,0.9340490277081808,63.3117691613815,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,1.8760424576299277e-06,False,1.4132837397198229e-05,0.0025,2,if_binary,7,29
23,0.9309806399181818,Yes,0.9382489107055448,0.9338618700841255,19.330521488189696,0.9323210936586157,0.3511972634012945,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,1.0746642789365077e-06,True,4.659589204905954e-05,0.004,2,if_binary,22,30
24,0.9309358984902543,Yes,0.9391790105106348,0.9338618700841255,17.261833906173706,0.9320307939891268,0.5692061807466187,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,1.4254757044027435e-06,True,3.724898368033039e-05,0.004,2,if_binary,24,31
31,0.9297478372571455,Yes,0.9356172840073115,0.9338618700841255,1.0058873176574707,0.9304057877770031,19.76603061794114,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,1.899603271318163e-06,True,1.6372402174426105e-05,0.0035,1,if_binary,36,32
49,0.927875687660712,Yes,0.9362131605090243,0.9334834623977584,1.5415034770965577,0.9292663799463649,9.41208334971085,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,6.978281265126032e-05,False,2.600354995722458e-05,0.004,1,if_binary,51,33
55,0.9259314499329483,Yes,0.9338786887446504,0.9334834623977584,1.4805780410766602,0.9272793309760775,1.0128361392917489,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,1.5679933916723006e-06,False,1.0035121726503964e-05,0.004,1,if_binary,58,34
36,0.929505776578805,Yes,0.9397142207864434,0.9334390873658727,18.316505193710327,0.930475573054738,0.8714992464307403,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,1.1851515660043105e-06,True,8.411780014585256e-05,0.004,2,if_binary,35,35
42,0.9291433944914818,Yes,0.9342998727000551,0.9332908123727186,1.0941731452941894,0.9302854179600102,1.5002023826515773,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,6.51113774533281e-05,True,9.66252758612188e-06,0.003,1,if_binary,37,36
47,0.9287346533562714,Yes,0.9344404612056431,0.9332908123727186,1.5568550109863282,0.9296517798080901,1.6668824446876265,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,1.0737748632897966e-06,False,1.3006240125782277e-05,0.003,1,if_binary,49,37
9,0.9329741560476087,Yes,0.9393212671554421,0.9332037004667973,18.230122232437132,0.9338600980691677,12.339585694468338,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,1.1790965486776305e-05,False,5.024706386795153e-05,0.0025,2,if_binary,9,38
11,0.932863310729305,Yes,0.9387618472520344,0.9330600040603602,18.781104469299315,0.9335048561981069,0.41292707579765786,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,6.0970252974914326e-05,True,1.2767662421792595e-05,0.0035,2,if_binary,11,39
52,0.9275428918680342,Yes,0.9358161189085619,0.9330600040603602,1.0138578414916992,0.9288811708723774,2.7161192310216262,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,5.013682353796104e-06,True,2.649363744047999e-05,0.004,1,if_binary,52,40
16,0.9323360556664249,Yes,0.939266785803805,0.9330171978715937,17.299038410186768,0.9331270489417914,7.747375520555697,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,9.134045432215854e-05,False,1.171072014740193e-05,0.0025,2,if_binary,16,41
32,0.9296449990788636,Yes,0.9351828106286021,0.9328984266820701,1.5087677478790282,0.9308254657716724,1.5054052714725985,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,3.6464395589807202e-06,False,1.1102587101345832e-05,0.0025,1,if_binary,30,42
48,0.9286224399934531,Yes,0.9364113684015085,0.9328670178229925,1.4148937702178954,0.9298331123404026,61.20302673382012,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,7.244921257211991e-05,False,6.62144818812808e-06,0.004,1,if_binary,46,43
53,0.926071148952321,Yes,0.9332146959083035,0.9328670178229925,1.4204958438873292,0.9280452020317087,0.44106536841057775,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,2.7855068482535876e-05,True,2.6121081150543594e-05,0.004,1,if_binary,54,44
17,0.9321802528842611,Yes,0.9385328969441784,0.93282846180419,17.76584086418152,0.9331594900318236,3.021770984889943,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,9.747986638344776e-05,False,3.9169587647820064e-05,0.0025,2,if_binary,15,45
45,0.9287654175577404,Yes,0.9338370300517783,0.9326716841158855,1.3210041522979736,0.9299254025947359,1.1665478921706423,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,1.0903884523201108e-05,True,1.6065507397090587e-05,0.003,1,if_binary,43,46
46,0.9287431333565375,Yes,0.9342395343342631,0.9326716841158855,1.149424409866333,0.9299119359876039,1.3361962707534045,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,1.6863473810115066e-06,True,2.391303826660567e-05,0.003,1,if_binary,44,47
11,0.932863310729305,Yes,0.9387618472520344,0.9326374555300486,18.35168652534485,0.9335048561981069,0.4196892304572207,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,3.6119581123446505e-06,True,4.07607538945756e-05,0.0035,2,if_binary,11,48
4,0.9335185428653568,Yes,0.9386195613236826,0.9324739635491537,18.701316595077515,0.9350161770109569,0.22706638025961812,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,1.1557352816269863e-06,True,1.9755552282472928e-05,0.0025,2,if_binary,3,49
35,0.929511102397675,Yes,0.9351828106286021,0.9324739635491537,1.6088740348815918,0.9306120716446025,1.7233288831716689,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,7.969454818643929e-05,True,4.7609616088881155e-05,0.0025,1,if_binary,34,50
54,0.9260527705275517,Yes,0.933757549343202,0.9324441414977235,1.4804808139801025,0.9275562480494723,0.5681336036727902,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,2.2382564990409224e-06,False,2.488274666403622e-05,0.004,1,if_binary,55,51
57,0.9256943051306413,Yes,0.933757549343202,0.9324441414977235,1.4755075454711915,0.9271432512784301,0.6285816038977874,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,1.5353434324857028e-06,False,2.5106167757907266e-05,0.004,1,if_binary,59,52
51,0.9276294981659051,Yes,0.9338551041689709,0.9320711997854438,1.2713068962097167,0.9294418459671189,0.6889415816593496,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,3.1171099804016677e-06,True,2.1045167272616842e-05,0.0025,1,if_binary,50,53
56,0.9258296890570712,Yes,0.933757549343202,0.9318261963938914,1.0101759910583497,0.9273615807156516,0.6388768203890732,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,8.831228248242525e-05,True,2.041568922109785e-05,0.004,1,if_binary,56,54
22,0.9311661039160567,Yes,0.935641507802001,0.9314270482553421,1.6568499565124513,0.9321241048215627,15.78445800408516,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,1.5226341829186314e-05,False,6.496265503239575e-05,0.0025,1,if_binary,23,55
25,0.9308850923243485,Yes,0.9361813019334772,0.9314270482553421,1.099262571334839,0.9317490299283305,127.26105161950416,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,6.239417435298783e-06,True,7.49585891703517e-05,0.0025,1,if_binary,25,56
37,0.9294568918410127,Yes,0.9348416675266472,0.9314048205976885,1.574323844909668,0.9301574787064475,64.51009524268225,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,4.30372001914325e-06,False,1.4682282688965035e-05,0.003,1,if_binary,38,57
40,0.9292580725001658,Yes,0.9348416675266472,0.9314048205976885,1.6286924839019776,0.9299735691616284,39.12308076143538,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,2.1775919853080008e-05,False,5.13469687604399e-06,0.003,1,if_binary,41,58
39,0.9292596602473846,Yes,0.9350419482167621,0.9309843452715342,1.116455602645874,0.9299708921678569,185.43745425100127,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,1.906198091855399e-06,True,1.1739244850816245e-05,0.003,1,if_binary,42,59
20,0.9315477693787843,Yes,0.9379119554442399,0.9305954426642576,17.3770028591156,0.9330505172628687,0.1392955872097018,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,9.752164572338578e-05,False,7.87789737325105e-05,0.0025,2,if_binary,17,60
